coupon_id,discount_rate
100001405,100:5
100001418,150:10
100001435,50:1
100001437,10:5
100001451,50:10
100001468,500:50
100001475,50:30
100001482,30:5
100001492,100:10
100001497,100:1
100001499,10:5
100001504,500:100
100001509,200:20
100001511,50:5
100001513,10:5
100001530,200:1
100001545,100:50
100001548,300:20
100001590,200:10
100001605,50:30
100001606,50:30
100001607,300:30
100001613,200:30
100001614,5:1
100001620,200:20
100001651,50:1
100001657,150:5
100001660,20:10
100001679,10:5
100001684,20:1
100001690,150:5
100001693,1000:50
100001696,150:10
100001701,10:5
100001702,500:50
100001710,50:1
100001711,100:10
100001718,300:50
100001733,150:100
100001739,300:30
100001747,150:10
100001753,200:10
100001754,20:1
100001761,5:1
100001762,50:5
100001800,50:5
100001805,1000:300
100001808,200:20
100001815,200:20
100001817,100:5
100001818,100:5
100001834,100:5
100001839,10:5
100001842,150:20
100001869,500:5
100001879,5:1
100001882,100:5
100001888,100:10
100001894,50:5
100001899,50:5
100001921,300:30
100001932,1000:100
100001933,150:10
100001964,300:50
100001966,30:20
100001974,20:10
100001977,100:5
100001986,100:50
100002004,300:50
100002027,50:30
100002036,200:20
100002037,300:50
100002045,200:30
100002057,50:1
100002067,30:10
100002079,100:10
100002098,800:20
100002107,50:1
100002108,50:1
100002126,300:50
100002127,300:10
100002129,300:50
100002130,5:1
100002137,10:5
100002164,150:10
100002172,5:1
100002173,500:30
100002216,50:1
100002242,30:1
100002245,5:1
100002246,50:1
100002250,1000:300
100002252,30:20
100002287,300:10
100002308,10:5
100002326,500:30
100002347,200:10
100002357,150:10
100002359,150:20
100002360,30:20
100002361,50:5
100002364,150:10
100002380,20:10
100002381,100:1
100002385,50:5
100002399,200:10
100002404,150:10
100002412,10:5
100002423,200:20
100002425,50:5
100002435,200:10
100002441,300:20
100002472,150:10
100002476,500:30
100002479,10:5
100002486,300:30
100002515,150:10
100002516,50:30
100002541,300:10
100002544,50:5
100002573,5:1
100002595,300:20
100002596,50:5
100002602,1000:50
100002610,5:1
100002621,100:10
100002627,200:30
100002629,150:5
100002639,50:5
100002648,50:10
100002655,20:5
100002658,1000:30
100002681,50:1
100002694,10:5
100002698,100:5
100002700,50:30
100002720,100:10
100002721,50:10
100002730,50:5
100002739,20:10
100002764,30:20
100002768,150:10
100002776,50:30
100002786,200:5
100002790,800:100
100002815,5:1
100002822,10:5
100002850,5:1
100002852,5:1
100002858,100:10
100002867,300:10
100002884,30:20
100002886,500:30
100002898,200:20
100002902,200:10
100002904,500:50
100002937,800:50
100002954,50:5
100002955,200:10
100002957,20:10
100002960,50:10
100002963,50:10
100002969,50:10
100002978,500:50
100002980,150:20
100002987,150:1
100002988,1000:10
100003007,100:5
100003011,50:5
100003014,800:500
100003025,800:50
100003031,10:5
100003051,1000:100
100003055,150:20
100003061,50:1
100003066,200:50
100003068,150:5
100003075,30:1
100003077,50:5
100003081,100:10
100003082,200:50
100003083,300:30
100003099,150:10
100003104,150:20
100003109,30:1
100003123,300:5
100003124,50:1
100003155,30:1
100003161,800:100
100003163,30:20
100003164,5:1
100003165,10:5
100003176,20:10
100003186,200:10
100003209,300:20
100003214,150:5
100003227,100:50
100003259,30:1
100003262,150:5
100003265,200:10
100003266,100:1
100003269,20:10
100003276,10:5
100003292,5:1
100003299,300:5
100003300,200:10
100003306,300:10
100003309,50:5
100003312,50:5
100003319,150:5
100003320,200:20
100003331,50:10
100003332,1000:100
100003333,200:10
100003344,30:10
100003365,50:5
100003367,500:5
100003382,100:10
100003389,30:20
100003399,100:10
100003401,200:50
100003412,300:30
100003416,150:10
100003458,100:5
100003459,30:20
100003461,50:5
100003468,30:20
100003492,1000:100
100003499,30:1
100003514,5:1
100003523,10:5
100003547,100:50
100003555,50:10
100003558,100:5
100003568,50:5
100003572,50:5
100003573,100:10
100003575,1000:5
100003581,500:20
100003595,150:10
100003596,50:1
100003611,200:30
100003625,200:20
100003627,300:30
100003628,150:10
100003633,300:20
100003642,150:30
100003654,800:100
100003657,100:10
100003658,150:10
100003659,300:30
100003662,50:1
100003665,500:50
100003692,100:10
100003697,5:1
100003701,300:10
100003702,300:20
100003714,150:10
100003722,300:30
100003737,300:100
100003740,50:5
100003742,800:100
100003747,1000:30
100003756,150:10
100003761,150:10
100003773,50:1
100003819,100:1
100003823,300:20
100003836,200:10
100003861,30:20
100003893,300:20
100003900,50:10
100003906,300:50
100003910,150:10
100003911,100:50
100003921,200:10
100003925,20:10
100003958,150:10
100003969,50:5
100003989,200:20
100003990,200:10
100003998,50:5
100004003,100:5
100004007,200:20
100004016,1000:100
100004017,50:10
100004019,10:5
100004025,20:10
100004038,300:10
100004046,10:5
100004061,100:5
100004080,20:10
100004085,50:1
100004101,50:1
100004105,200:20
100004130,5:1
100004149,50:30
100004152,500:100
100004162,50:5
100004178,5:1
100004198,200:10
100004202,150:5
100004204,30:20
100004205,200:10
100004212,10:5
100004246,10:5
100004249,20:10
100004252,20:10
100004269,5:1
100004280,20:10
100004289,150:5
100004308,200:20
100004309,150:10
100004320,50:1
100004325,100:10
100004331,200:10
100004334,200:20
100004344,500:100
100004348,150:5
100004351,500:50
100004356,50:5
100004370,5:1
100004372,50:5
100004387,50:1
100004388,150:10
100004427,800:100
100004429,1000:100
100004434,100:10
100004443,20:10
100004462,50:1
100004471,300:30
100004478,100:20
100004479,200:20
100004481,100:10
100004484,200:20
100004504,500:50
100004529,500:20
100004532,200:20
100004543,150:20
100004545,200:10
100004563,50:10
100004572,10:5
100004583,300:30
100004585,300:20
100004586,200:10
100004596,50:30
100004605,200:100
100004606,50:5
100004610,150:10
100004613,800:20
100004634,10:5
100004640,300:30
100004645,100:30
100004658,100:5
100004677,100:50
100004678,50:10
100004683,200:30
100004689,300:20
100004710,50:10
100004719,50:5
100004723,1000:50
100004725,150:10
100004726,30:1
100004739,50:5
100004749,50:10
100004766,200:20
100004768,200:20
100004779,200:10
100004803,10:5
100004804,10:5
100004813,20:10
100004820,300:50
100004821,200:5
100004822,100:5
100004841,150:10
100004842,150:10
100004856,200:10
100004864,150:5
100004891,300:50
100004892,300:20
100004893,150:10
100004897,10:5
100004901,150:10
100004907,150:10
100004912,20:10
100004939,200:20
100004944,300:50
100004949,5:1
100004950,1000:10
100004956,50:5
100004968,50:5
100004972,1000:50
100004973,50:20
100004976,100:5
100004979,800:50
100005001,100:5
100005002,200:20
100005021,50:5
100005038,150:10
100005044,150:20
100005059,1000:50
100005066,100:10
100005069,500:100
100005070,150:10
100005077,1000:50
100005091,50:10
100005102,500:50
100005109,10:5
100005121,20:10
100005123,500:50
100005135,5:1
100005143,100:10
100005148,5:1
100005160,150:10
100005168,100:5
100005169,1000:50
100005177,200:20
100005182,5:1
100005184,100:5
100005205,50:5
100005206,20:10
100005227,300:1
100005228,800:100
100005230,50:5
100005231,300:20
100005236,5:1
100005238,1000:100
100005239,200:30
100005241,100:5
100005249,100:10
100005252,20:1
100005269,50:5
100005281,200:10
100005290,200:10
100005293,150:10
100005298,30:20
100005300,50:5
100005305,100:5
100005306,1000:300
100005310,50:1
100005311,30:20
100005324,30:20
100005327,500:50
100005333,150:10
100005353,200:50
100005359,200:10
100005361,30:1
100005368,5:1
100005379,150:10
100005384,150:10
100005391,5:1
100005392,50:10
100005421,20:10
100005436,30:20
100005439,200:30
100005446,800:100
100005459,200:10
100005474,50:10
100005480,150:20
100005481,200:10
100005490,50:5
100005493,300:30
100005498,30:20
100005510,30:20
100005511,20:10
100005516,500:20
100005520,150:10
100005522,50:1
100005524,150:5
100005528,150:5
100005535,50:5
100005539,500:50
100005542,50:30
100005545,500:100
100005549,5:1
100005552,150:5
100005553,30:1
100005555,150:5
100005558,200:20
100005583,100:10
100005584,20:10
100005594,200:10
100005602,20:1
100005607,200:10
100005630,150:5
100005643,500:30
100005655,500:5
100005656,20:10
100005657,50:5
100005660,30:1
100005666,300:50
100005668,100:5
100005672,5:1
100005674,150:30
100005676,100:10
100005684,150:10
100005685,150:10
100005695,5:1
100005709,100:5
100005714,200:20
100005717,20:10
100005719,200:20
100005722,30:20
100005732,100:50
100005734,50:1
100005742,150:20
100005764,100:10
100005766,50:5
100005776,200:20
100005781,1000:50
100005793,200:20
100005798,500:50
100005816,50:1
100005824,30:20
100005832,50:10
100005837,50:5
100005848,50:5
100005849,50:5
100005861,20:10
100005863,5:1
100005870,30:20
100005878,30:5
100005919,1000:100
100005926,150:5
100005942,300:20
100005960,200:20
100005984,150:10
100005985,150:30
100005986,150:10
100005989,300:30
100006007,200:20
100006030,150:10
100006034,200:10
100006049,100:50
100006057,150:20
100006063,100:50
100006067,10:5
100006072,10:5
100006074,50:5
100006076,50:5
100006079,50:30
100006081,20:10
100006082,150:10
100006085,50:5
100006094,20:10
100006099,20:10
100006112,10:5
100006134,300:50
100006135,50:10
100006159,300:10
100006171,50:1
100006180,100:10
100006181,50:1
100006186,100:5
100006188,200:20
100006192,10:5
100006193,30:20
100006207,20:10
100006216,5:1
100006219,300:30
100006221,300:50
100006235,30:20
100006265,200:10
100006287,5:1
100006289,800:100
100006305,100:10
100006307,100:5
100006308,100:50
100006310,30:20
100006313,300:10
100006316,100:50
100006317,200:1
100006321,150:10
100006326,100:10
100006335,10:5
100006340,50:10
100006341,50:1
100006365,300:10
100006370,50:5
100006372,5:1
100006392,150:20
100006409,50:5
100006419,300:20
100006421,150:20
100006432,150:10
100006433,100:10
100006435,20:10
100006443,20:10
100006456,50:1
100006462,30:20
100006469,150:10
100006471,150:10
100006473,100:20
100006474,150:20
100006475,50:1
100006476,50:30
100006484,20:10
100006487,10:1
100006494,5:1
100006511,30:1
100006517,300:10
100006521,150:10
100006529,10:5
100006540,300:50
100006553,100:50
100006573,500:100
100006575,10:5
100006580,50:30
100006594,100:10
100006610,100:10
100006614,100:10
100006616,100:5
100006619,50:5
100006635,150:10
100006638,100:50
100006645,20:10
100006656,100:10
100006657,50:10
100006677,150:10
100006681,50:5
100006692,200:1
100006694,300:50
100006698,500:30
100006712,20:10
100006720,300:10
100006730,100:1
100006754,10:5
100006758,150:10
100006786,100:1
100006795,30:10
100006801,500:50
100006808,300:30
100006820,150:20
100006822,500:100
100006832,150:5
100006835,50:30
100006844,5:1
100006845,10:5
100006852,5:1
100006884,500:50
100006898,5:1
100006910,50:5
100006919,200:30
100006921,50:10
100006926,10:5
100006933,500:50
100006940,10:5
100006941,100:10
100006966,10:5
100006971,10:5
100006975,50:1
100006980,100:50
100006989,5:1
100007025,200:10
100007028,30:20
100007039,5:1
100007061,150:10
100007067,50:5
100007071,500:5
100007085,20:10
100007095,100:1
100007117,50:10
100007132,300:20
100007133,5:1
100007166,150:10
100007173,200:10
100007176,10:5
100007185,50:30
100007186,500:50
100007196,50:5
100007205,20:10
100007209,100:10
100007213,10:5
100007217,800:50
100007222,50:10
100007225,200:100
100007234,200:10
100007243,150:1
100007244,300:30
100007261,200:10
100007273,150:5
100007276,1000:100
100007308,300:20
100007311,10:5
100007312,100:5
100007316,150:5
100007319,10:5
100007342,50:10
100007351,20:10
100007356,50:5
100007359,300:20
100007361,150:10
100007373,150:10
100007383,50:1
100007385,200:30
100007388,800:100
100007399,200:30
100007404,100:20
100007408,500:100
100007413,100:20
100007432,50:5
100007440,30:20
100007445,10:5
100007451,150:10
100007452,300:20
100007455,200:10
100007459,300:10
100007462,300:30
100007480,100:1
100007497,50:5
100007501,30:20
100007509,100:10
100007511,50:5
100007514,150:10
100007522,150:20
100007523,200:20
100007530,200:100
100007544,50:1
100007567,200:50
100007572,500:100
100007592,100:10
100007601,50:5
100007603,200:10
100007606,150:5
100007628,30:20
100007636,30:20
100007641,150:5
100007655,20:10
100007656,500:30
100007659,100:5
100007675,50:30
100007682,150:10
100007687,50:10
100007706,10:1
100007709,50:5
100007718,200:10
100007721,200:20
100007722,1000:50
100007734,100:5
100007738,150:10
100007739,100:10
100007742,150:10
100007749,50:1
100007759,150:10
100007762,100:10
100007764,100:10
100007774,100:50
100007775,5:1
100007776,1000:100
100007777,300:5
100007779,200:30
100007796,10:5
100007801,300:10
100007802,100:10
100007807,200:5
100007808,300:50
100007811,100:10
100007812,20:10
100007822,20:10
100007828,200:10
100007843,10:5
100007844,150:20
100007849,150:5
100007853,150:10
100007867,50:5
100007895,100:5
100007901,30:20
100007919,10:5
100007921,10:1
100007934,200:20
100007935,10:5
100007939,300:10
100007948,50:5
100007974,20:10
100007976,300:30
100008000,300:5
100008007,10:5
100008029,200:30
100008034,150:10
100008041,100:50
100008057,200:20
100008061,100:20
100008075,200:20
100008082,500:100
100008098,10:5
100008108,300:30
100008112,300:20
100008120,100:10
100008125,800:50
100008143,50:1
100008158,50:5
100008159,100:10
100008165,300:50
100008178,150:20
100008179,200:10
100008186,300:10
100008187,30:5
100008197,150:10
100008203,5:1
100008204,50:5
100008205,50:5
100008213,50:5
100008230,150:10
100008232,10:5
100008251,100:1
100008252,50:30
100008260,1000:50
100008268,100:5
100008270,300:30
100008275,150:50
100008283,50:5
100008293,200:10
100008296,1000:100
100008300,10:5
100008308,100:10
100008311,50:1
100008319,30:20
100008321,50:1
100008348,50:1
100008362,800:100
100008368,10:5
100008370,10:5
100008374,5:1
100008382,150:10
100008383,20:10
100008402,150:20
100008410,100:5
100008421,50:10
100008428,100:10
100008436,10:5
100008437,50:1
100008461,50:10
100008462,200:10
100008477,200:30
100008492,50:1
100008496,500:30
100008497,300:50
100008510,50:1
100008513,1000:50
100008523,50:5
100008525,30:20
100008528,10:5
100008529,50:5
100008532,5:1
100008536,20:10
100008538,150:5
100008543,1000:20
100008549,300:20
100008558,500:100
100008560,200:20
100008571,300:30
100008583,500:50
100008589,50:5
100008591,50:5
100008599,150:20
100008603,500:30
100008617,800:10
100008618,50:1
100008622,50:5
100008629,10:5
100008636,50:5
100008642,500:20
100008666,50:1
100008683,50:1
100008685,20:1
100008695,200:30
100008697,150:10
100008701,500:50
100008714,200:20
100008718,30:20
100008722,300:50
100008750,300:10
100008751,150:5
100008769,300:50
100008796,300:50
100008797,50:1
100008800,500:30
100008805,300:30
100008816,300:30
100008831,300:20
100008835,30:20
100008840,30:5
100008850,20:10
100008861,300:50
100008868,150:20
100008893,50:1
100008904,300:50
100008908,300:50
100008911,200:20
100008933,10:5
100008939,300:20
100008964,500:100
100008996,50:1
100009004,50:1
100009005,20:10
100009008,20:10
100009028,300:10
100009030,500:50
100009031,20:10
100009035,10:1
100009043,150:10
100009048,300:50
100009072,300:30
100009085,5:1
100009088,100:50
100009106,200:30
100009111,50:1
100009113,5:1
100009116,200:20
100009136,200:10
100009141,500:20
100009146,1000:50
100009148,30:1
100009151,200:20
100009166,100:10
100009184,10:5
100009190,300:30
100009212,150:20
100009216,30:1
100009217,150:5
100009221,100:20
100009236,500:30
100009251,150:30
100009256,150:20
100009262,100:10
100009272,150:10
100009275,300:50
100009283,200:50
100009284,30:1
100009305,1000:100
100009311,150:5
100009322,50:30
100009341,1000:100
100009354,300:30
100009357,30:20
100009369,100:5
100009374,50:5
100009378,30:1
100009393,200:20
100009416,1000:100
100009421,20:10
100009432,100:5
100009435,300:20
100009443,50:5
100009446,200:10
100009452,100:5
100009462,50:5
100009466,150:20
100009470,200:20
100009473,30:20
100009476,5:1
100009484,200:20
100009504,20:10
100009519,200:10
100009525,50:1
100009534,300:10
100009545,300:50
100009553,30:1
100009555,200:100
100009556,50:5
100009565,300:10
100009568,20:1
100009569,100:5
100009577,10:1
100009589,500:20
100009591,50:1
100009598,10:5
100009599,50:1
100009600,500:50
100009618,150:10
100009622,50:1
100009634,30:20
100009639,500:20
100009649,150:10
100009652,10:5
100009653,100:10
100009655,50:1
100009669,50:1
100009690,50:5
100009695,300:50
100009696,5:1
100009701,20:10
100009703,10:5
100009704,200:20
100009709,30:5
100009712,100:10
100009725,300:50
100009733,200:20
100009751,20:10
100009753,300:50
100009755,150:10
100009767,50:10
100009768,1000:100
100009770,20:10
100009771,300:50
100009791,200:20
100009792,50:20
100009796,1000:100
100009799,100:50
100009814,500:100
100009841,300:50
100009842,30:1
100009843,300:10
100009850,10:5
100009851,50:10
100009861,150:10
100009877,100:50
100009885,150:10
100009892,50:10
100009915,1000:50
100009919,150:10
100009933,100:5
100009939,30:10
100009948,800:500
100009954,20:1
100009956,50:1
100009959,5:1
100009967,50:1
100009972,50:1
100009974,300:30
100009977,150:5
100009999,1000:30
10001,0.95
100010001,100:5
100010007,300:50
100010008,50:5
100010021,100:20
100010022,150:10
100010051,30:20
100010062,30:5
100010074,20:10
100010075,30:5
100010081,50:5
100010101,300:20
100010106,10:5
100010108,10:5
100010126,50:10
100010143,300:20
100010163,150:10
100010173,50:30
100010175,500:30
100010203,1000:50
100010210,200:10
100010217,500:50
100010228,50:30
100010234,150:20
100010257,100:30
100010259,300:10
100010278,150:20
100010282,200:30
100010305,5:1
100010313,10:5
100010314,50:5
100010329,50:5
100010337,50:1
100010341,10:5
100010343,50:5
100010353,100:50
100010371,150:10
100010392,30:20
100010394,200:10
100010436,50:30
100010443,300:20
100010451,5:1
100010462,5:1
100010474,10:5
100010481,100:10
100010495,30:20
100010531,30:20
100010536,500:50
100010548,30:20
100010556,30:1
100010565,100:5
100010566,1000:20
100010571,150:10
100010572,100:10
100010575,300:50
100010579,200:20
100010586,200:30
100010602,300:50
100010618,100:20
100010633,300:20
100010652,10:5
100010670,100:10
100010671,10:5
100010687,150:20
100010692,150:10
100010695,10:1
100010696,150:5
100010699,50:1
100010720,100:5
100010723,1000:300
100010733,150:20
100010740,100:50
100010743,20:10
100010754,500:20
100010755,30:20
100010764,100:5
100010769,300:20
100010787,500:50
100010791,150:5
100010798,150:30
100010799,150:10
100010821,30:20
100010824,30:1
100010831,100:10
100010838,150:20
100010839,30:1
100010841,100:5
100010853,500:20
100010862,150:10
100010866,50:20
100010868,50:5
100010877,20:10
100010878,200:50
100010902,30:20
100010911,5:1
100010920,300:50
100010926,200:100
100010946,200:5
100010962,100:5
100010979,50:1
100010984,150:10
100011016,5:1
100011026,5:1
100011029,500:20
100011047,10:1
100011051,50:1
100011055,100:5
100011076,1000:20
100011080,50:5
100011084,50:1
100011087,50:5
100011092,150:10
100011110,100:10
100011112,50:5
100011114,100:50
100011117,1000:30
100011129,800:100
100011137,200:10
100011141,20:5
100011142,10:5
100011157,30:20
100011174,20:10
100011185,5:1
100011192,100:1
100011194,200:20
100011204,50:1
100011213,50:1
100011216,100:10
100011220,30:1
100011228,100:5
100011233,20:10
100011239,100:10
100011250,50:30
100011280,50:5
100011293,300:10
100011296,150:20
100011305,200:10
100011308,800:30
100011315,100:5
100011316,100:10
100011318,500:20
100011326,10:5
100011334,50:1
100011341,30:20
100011347,100:10
100011349,50:1
100011353,150:10
100011357,300:20
100011360,10:5
100011366,50:1
100011393,5:1
100011394,50:5
100011397,50:10
100011410,30:1
100011417,300:50
100011425,150:5
100011442,500:20
100011456,1000:100
100011457,100:10
100011481,500:30
100011484,500:10
100011487,30:20
100011499,5:1
100011508,200:20
100011510,5:1
100011513,100:10
100011515,20:1
100011524,50:10
100011525,300:20
100011528,150:20
100011562,10:5
100011565,10:1
100011575,500:50
100011583,5:1
100011592,800:50
100011607,150:5
100011634,150:10
100011644,1000:20
100011662,50:1
100011665,500:10
100011672,200:1
100011677,50:1
100011678,20:10
100011695,50:5
100011714,150:5
100011729,100:50
100011730,100:10
100011747,5:1
100011751,300:50
100011764,150:20
100011774,150:10
100011801,300:30
100011807,100:10
100011810,300:10
100011817,100:10
100011835,200:10
100011837,300:50
100011838,1000:50
100011861,100:10
100011865,100:5
100011866,100:10
100011870,50:5
100011876,300:20
100011885,150:5
100011918,300:30
100011928,200:20
100011934,50:30
100011941,100:30
100011960,200:30
100011961,500:50
100011963,50:5
100011977,200:10
100011999,50:10
100012009,150:10
100012034,1000:100
100012039,300:10
100012072,50:30
100012074,50:5
100012075,20:10
100012114,20:10
100012120,150:5
100012124,50:5
100012133,5:1
100012136,150:10
100012141,50:5
100012149,200:10
100012157,300:10
100012160,200:10
100012188,200:20
100012192,50:5
100012195,50:5
100012206,10:5
100012208,50:5
100012212,100:50
100012215,50:30
100012217,150:10
100012236,30:1
100012248,30:20
100012249,50:30
100012268,100:10
100012282,50:1
100012294,150:5
100012304,20:10
100012313,20:5
100012319,200:10
100012327,150:10
100012354,50:5
100012362,500:50
100012365,100:50
100012366,200:30
100012419,10:5
100012420,150:10
100012421,50:10
100012449,30:20
100012450,300:20
100012452,5:1
100012455,50:1
100012457,500:50
100012492,1000:100
100012501,200:10
100012518,20:10
100012526,200:10
100012530,200:20
100012534,200:20
100012544,20:10
100012551,50:5
100012561,150:1
100012562,150:10
100012588,50:1
100012592,10:1
100012603,150:100
100012609,300:50
100012611,150:20
100012612,50:1
100012633,150:10
100012634,20:10
100012635,50:5
100012637,300:50
100012669,5:1
100012695,20:5
100012697,100:10
100012699,150:10
100012709,500:20
100012711,30:20
100012718,50:1
100012721,10:5
100012729,200:20
100012733,5:1
100012741,20:1
100012743,150:1
100012745,100:20
100012748,1000:100
100012751,800:100
100012765,5:1
100012770,10:5
100012772,100:50
100012798,1000:30
100012804,10:5
100012815,20:5
100012830,300:30
100012843,150:20
100012849,30:20
100012866,20:10
100012880,100:10
100012883,500:100
100012885,1000:100
100012887,50:5
100012888,100:1
100012907,100:5
100012918,100:5
100012923,100:1
100012927,1000:100
100012946,200:30
100012954,150:10
100012962,50:5
100012965,5:1
100012968,50:1
100012969,30:5
100012984,100:1
100012997,200:20
100013001,20:10
100013015,150:10
100013018,30:1
100013024,150:10
100013027,150:10
100013034,10:5
100013055,150:100
100013058,30:1
100013059,100:5
100013063,500:50
100013064,300:50
100013074,50:1
100013075,30:20
100013082,150:10
100013086,200:20
100013102,300:30
100013107,100:50
100013109,300:30
100013110,300:5
100013125,30:1
100013150,50:1
100013152,30:20
100013162,500:50
100013171,800:50
100013174,100:5
100013188,150:10
100013196,30:1
100013199,300:10
100013209,50:1
100013216,50:1
100013222,50:5
100013240,500:10
100013242,500:100
100013243,150:10
100013251,300:50
100013262,50:1
100013265,300:20
100013274,30:20
100013287,50:30
100013290,500:20
100013309,5:1
100013317,150:5
100013318,300:30
100013324,50:30
100013326,300:50
100013327,200:30
100013331,100:5
100013336,300:50
100013345,5:1
100013353,100:20
100013367,5:1
100013375,10:5
100013396,150:10
100013410,150:20
100013413,300:50
100013424,150:10
100013426,30:1
100013427,200:30
100013429,10:5
100013434,150:10
100013443,50:30
100013457,1000:20
100013474,500:50
100013487,800:20
100013491,5:1
100013498,5:1
100013507,1000:100
100013541,800:30
100013550,10:5
100013554,1000:100
100013579,150:10
100013586,150:20
100013620,500:20
100013627,50:10
100013634,10:5
100013641,200:20
100013647,100:1
100013648,100:5
100013660,100:5
100013672,300:50
100013674,500:50
100013677,20:10
100013680,10:5
100013687,50:1
100013692,30:20
100013710,50:5
100013716,300:20
100013750,500:30
100013761,150:5
100013762,20:10
100013771,150:20
100013775,100:50
100013782,50:1
100013786,1000:300
100013787,50:1
100013794,200:20
100013801,50:5
100013804,100:5
100013825,50:5
100013835,200:20
100013838,200:10
100013844,200:30
100013849,100:50
100013850,200:30
100013852,10:5
100013859,100:10
100013872,300:20
100013874,1000:20
100013878,50:10
100013884,300:50
100013895,5:1
100013914,150:10
100013926,500:50
100013927,30:10
100013936,1000:50
100013939,30:1
100013948,30:20
100013952,50:5
100013956,10:5
100013959,10:5
100013964,200:20
100013971,50:20
100013975,10:5
100013983,30:20
100013985,30:5
100013987,20:10
100013989,100:5
100013995,30:10
100014019,20:10
100014023,5:1
100014026,20:10
100014030,50:1
100014046,50:5
100014048,50:5
100014049,100:5
100014050,150:100
100014051,150:20
100014061,10:5
100014072,10:5
100014076,30:1
100014085,500:50
100014090,1000:20
100014098,30:20
100014101,10:5
100014104,200:20
100014129,5:1
100014134,300:20
100014135,100:5
100014164,200:50
100014180,100:50
100014183,500:100
100014202,1000:20
100014205,1000:100
100014232,150:10
100014233,500:50
100014240,500:100
100014245,150:10
100014251,30:5
100014269,50:1
100014274,20:1
100014275,20:10
100014278,200:10
100014281,20:10
100014288,100:5
100014290,300:50
100014297,300:10
100014301,10:5
100014309,150:20
100014314,10:5
100014315,10:5
100014330,150:10
100014335,300:50
100014336,300:50
100014342,100:20
100014346,10:5
100014358,100:10
100014363,1000:100
100014402,200:10
100014408,100:5
100014418,150:5
100014433,30:20
100014449,50:1
100014456,300:50
100014459,50:5
100014462,1000:20
100014482,300:20
100014486,10:5
100014489,150:20
100014491,30:20
100014495,150:20
100014502,200:10
100014518,300:50
100014544,300:100
100014557,200:20
100014559,50:10
100014560,300:20
100014568,100:10
100014572,20:10
100014574,100:10
100014583,200:30
100014585,100:5
100014591,200:20
100014594,1000:50
100014613,100:1
100014649,100:50
100014651,150:1
100014671,150:10
100014694,20:10
100014706,150:10
100014727,100:50
100014739,200:10
100014744,100:10
100014745,30:20
100014746,100:50
100014749,50:1
100014750,30:20
100014755,500:30
100014756,100:10
100014766,5:1
100014772,500:100
100014779,200:10
100014786,5:1
100014788,150:10
100014794,10:1
100014798,100:50
100014803,5:1
100014816,100:5
100014823,5:1
100014852,50:1
100014853,5:1
100014859,500:10
100014867,50:1
100014871,10:5
100014877,150:10
100014878,1000:500
100014880,300:20
100014881,5:1
100014885,150:20
